Compound ID	Minimum Degree	Molecular Weight	Number of H-Bond Donors	Number of Rings	Number of Rotatable Bonds	Polar Surface Area	measured log solubility in mols per litre	smiles
Amigdalin	-0.2453752022561285	2.4684846355380046	5.782688923348965	1.2210981150377018	1.8269143465953785	4.734437026362306	-0.77	OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O 
Fenfuram	-0.2453752022561285	-0.026409657474820585	0.27428095245159756	0.4622007741217086	-0.06716596862483015	0.20829955300878936	-3.3	Cc1occc1C(=O)Nc2ccccc2
citral	-0.2453752022561285	-0.5034453420037844	-0.6437870426979635	-1.0555939077102776	0.6904661574632532	-0.50336261718304	-2.06	CC(C)=CCCC(C)=CC(=O)
Picene	3.9483100726667906	0.7246576510912456	-0.6437870426979635	2.7388927968696883	-0.8247980947129135	-0.9860035883858419	-7.87	c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43
Thiophene	3.9483100726667906	-1.166531565207738	-0.6437870426979635	-0.2966965667942846	-0.8247980947129135	-0.9860035883858419	-1.33	c1ccsc1
benzothiazole	3.9483100726667906	-0.6694359984600741	-0.6437870426979635	0.4622007741217086	-0.8247980947129135	-0.6215488655502169	-1.5	c2ccc1scnc1c2 
2,2,4,6,6'-PCB	-0.2453752022561285	1.192880620373645	-0.6437870426979635	0.4622007741217086	-0.44598203166887185	-0.9860035883858419	-7.32	Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl
Estradiol	-0.2453752022561285	0.6665618951122343	1.1923489476011586	1.9799954559536952	-0.8247980947129135	0.15797143767539815	-5.03	CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O
Dieldrin	-0.2453752022561285	1.7233573891823295	-0.6437870426979635	2.7388927968696883	-0.8247980947129135	-0.6317275855052848	-6.29	ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl
Rotenone	-0.2453752022561285	1.8549151604321534	-0.6437870426979635	2.7388927968696883	0.31165009441921154	0.8014927326124673	-4.42	COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C 
2-pyrrolidone	-0.2453752022561285	-1.1571540571608405	0.27428095245159756	-0.2966965667942846	-0.8247980947129135	-0.16322372535118826	1.07	O=C1CCCN1
2-Chloronapthalene	-0.2453752022561285	-0.40234743074429863	-0.6437870426979635	0.4622007741217086	-0.8247980947129135	-0.9860035883858419	-4.14	Clc1ccc2ccccc2c1
1-Pentene 	-0.2453752022561285	-1.3029387642948962	-0.6437870426979635	-1.0555939077102776	-0.06716596862483015	-0.9860035883858419	-2.68	CCCC=C
Primidone	-0.2453752022561285	0.1394349318779349	1.1923489476011586	0.4622007741217086	-0.06716596862483015	0.6595561376834654	-2.64	CCC1(C(=O)NCNC1=O)c2ccccc2
Tetradecane	-0.2453752022561285	-0.05397738881517983	-0.6437870426979635	-1.0555939077102776	3.342178598771545	-0.9860035883858419	-7.96	CCCCCCCCCCCCCC
2-Chloropropane	-0.2453752022561285	-1.2210730216674162	-0.6437870426979635	-1.0555939077102776	-0.8247980947129135	-0.9860035883858419	-1.41	CC(C)Cl
2-Methylbutanol	-0.2453752022561285	-1.127512172950296	0.27428095245159756	-1.0555939077102776	-0.06716596862483015	-0.4140160753552219	-0.47	CCC(C)CO
Benzonitrile	-0.2453752022561285	-0.9816982523955338	-0.6437870426979635	-0.2966965667942846	-0.8247980947129135	-0.3133598446884395	-1.0	N#Cc1ccccc1
Diazinon	-0.2453752022561285	0.9778211549367593	-0.6437870426979635	-0.2966965667942846	1.8269143465953785	0.5258190671627123	-3.64	CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C
2-Undecanol	-0.2453752022561285	-0.3079588684404841	0.27428095245159756	-1.0555939077102776	2.20573040963942	-0.4140160753552219	-2.94	CCCCCCCCCC(C)O
2,2',3,4,6-PCB	-0.2453752022561285	1.192880620373645	-0.6437870426979635	0.4622007741217086	-0.44598203166887185	-0.9860035883858419	-7.43	Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl 
Lenacil	-0.2453752022561285	0.2956585680112358	0.27428095245159756	1.2210981150377018	-0.44598203166887185	0.5651202358781133	-4.593999999999999	O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3
Phorate	-0.2453752022561285	0.5496887366710528	-0.6437870426979635	-1.0555939077102776	2.20573040963942	-0.46406144846763897	-4.11	CCOP(=S)(OCC)SCSCC
Phenacetin	-0.2453752022561285	-0.24069983616642626	0.27428095245159756	-0.2966965667942846	0.31165009441921154	0.09774734460791312	-2.35	CCOc1ccc(NC(=O)C)cc1
Dinitramine	-0.2453752022561285	1.1520402582254763	0.27428095245159756	-0.2966965667942846	1.069282220507295	2.2808000327489997	-5.47	CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O
1-Heptanol	-0.2453752022561285	-0.8543277381136921	0.27428095245159756	-1.0555939077102776	1.069282220507295	-0.4140160753552219	-1.81	CCCCCCCO
Theophylline	-0.2453752022561285	-0.23146839522306337	0.27428095245159756	0.4622007741217086	-0.8247980947129135	1.0689668736539735	-1.39	Cn1c(=O)n(C)c2nc[nH]c2c1=O
Butethal	-0.2453752022561285	0.08093992581593017	1.1923489476011586	-0.2966965667942846	0.6904661574632532	1.1421971088862675	-1.661	CCCCC1(CC)C(=O)NC(=O)NC1=O
P,P'-DDE	-0.2453752022561285	1.1110148777461655	-0.6437870426979635	0.4622007741217086	-0.06716596862483015	-0.9860035883858419	-6.9	ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
Methyl octanoate	-0.2453752022561285	-0.4449795493624864	-0.6437870426979635	-1.0555939077102776	1.4480982835513367	-0.24239154722393846	-3.17	CCCCCCCC(=O)OC
1,4-Diethylbenzene 	-0.2453752022561285	-0.6788719333483849	-0.6437870426979635	-0.2966965667942846	-0.06716596862483015	-0.9860035883858419	-3.75	CCc1ccc(CC)cc1
